Job_Title,Salary_Estimate,Company_Name,Location,Headquarters,Industry,Sector,Revenue,Competitors,Hourly,Employer_provided,Min_Salary,Max_Salary,Avg_Salary,company_txt,Job_Location,Python,Spark,AWS,Excel,SQL,SAS,Keras,PyTorch,Scikit_Learn,TensorFlow,Hadoop,Tableau,Power_BI,Flink,MongoDB,Google_Analytics,Job_Category,Seniority_Title,Degree_Required,Company_Rating,State_Wise,Company_Man_Power,Company_Man_Power_Category,Founded_Year,Company_Age,Ownership_Type
associate director director  safety scientist,$102K-$178K (Glassdoor est.),Acceleron Pharma,"Cambridge, MA","Cambridge, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,0,0,102,178,140.0,Acceleron Pharma,MA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Director,Not Specified,PhD,4.4,MA,201 - 500,Medium,2003,23,Public
senior scientist  cell pharmacology assay development,Employer Provided Salary:$110K-$130K,Kronos Bio,"Cambridge, MA","San Mateo, CA",Unknown,Unknown,Unknown / Non-Applicable,-1,0,1,110,130,120.0,Kronos Bi,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Senior,PhD,-1.0,MA,Unknown,Unknown,,,Private
data analyst senior,$48K-$85K (Glassdoor est.),AmeriHealth Caritas,"Philadelphia, PA","Philadelphia, PA",Insurance Carriers,Insurance,$5 to $10 billion (USD),"UnitedHealth Group, Molina Healthcare, Centene",0,0,48,85,66.5,AmeriHealth Caritas,PA,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,Data Analyst,Senior,Masters,3.0,PA,5001 - 10000,Large,1983,43,Private
lead data engineer  python ,$66K-$123K (Glassdoor est.),Strategic Employment Partners,"San Francisco, CA","Los Angeles, CA",Staffing & Outsourcing,Business Services,$1 to $5 million (USD),-1,0,0,66,123,94.5,Strategic Employment Partners,CA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Engineer,Senior,Not_Specified,4.7,CA,51 - 200,Small,2006,20,Private
senior data scientist 4 artificial intelligence,$92K-$146K (Glassdoor est.),PNNL,"Seattle, WA","Richland, WA",Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,92,146,119.0,PNNL,WA,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Data Scientist,Senior,Masters,3.8,WA,1001 - 5000,Large,1965,61,Government
medical lab scientist   mlt,$21-$29 Per Hour(Glassdoor est.),Catholic Health Initiatives,"Omaha, NE","Englewood, CO",Health Care Services & Hospitals,Health Care,$10+ billion (USD),"Dignity Health, Trinity Health",1,0,43,60,51.5,Catholic Health Initiatives,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Not Specified,Not_Specified,3.2,NE,10000+,Very Large,1996,30,Nonprofit
senior operations data analyst  call center operations,$10-$17 Per Hour(Glassdoor est.),FLEETCOR,"Nashville, TN","Peachtree Corners, GA",Financial Transaction Processing,Finance,$2 to $5 billion (USD),-1,1,0,20,35,27.5,FLEETCOR,TN,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Data Analyst,Senior,Not_Specified,2.7,TN,5001 - 10000,Large,2000,26,Public
director ii  data science   grs predictive analytics,$150K-$239K (Glassdoor est.),Liberty Mutual Insurance,"Chicago, IL","Boston, MA",Insurance Carriers,Insurance,$10+ billion (USD),"Travelers, Allstate, State Farm",0,0,150,239,194.5,Liberty Mutual Insurance,IL,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,PhD,3.3,IL,10000+,Very Large,1912,114,Private
research computer scientist   research engineer   sr  computer scientist   software development,$52K-$91K (Glassdoor est.),Southwest Research Institute,"San Antonio, TX","San Antonio, TX",Research & Development,Business Services,$500 million to $1 billion (USD),"Los Alamos National Laboratory, Battelle, SRI International",0,0,52,91,71.5,Southwest Research Institute,TX,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Senior,Not_Specified,3.9,TX,1001 - 5000,Large,1947,79,Nonprofit
geospatial software developer and data scientist,$82K-$129K(Employer est.),Applied Research Laboratories,"Austin, TX","Austin, TX",Colleges & Universities,Education,Unknown / Non-Applicable,-1,0,0,82,129,105.5,Applied Research Laboratories,TX,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,Data Scientist,Not Specified,Not_Specified,3.7,TX,501 - 1000,Medium,,,Education
senior scientist   toxicologist   product integrity  stewardship ,$47K-$101K (Glassdoor est.),Reynolds American,"Winston-Salem, NC","Winston-Salem, NC",Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),-1,0,0,47,101,74.0,Reynolds American,NC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Senior,Masters,3.1,NC,5001 - 10000,Large,1875,151,Private
systems engineer ii   data analyst,$49K-$76K (Glassdoor est.),Raytheon,"Huntsville, AL","Waltham, MA",Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,0,0,49,76,62.5,Raytheon,AL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Analyst,Not Specified,Not_Specified,3.7,AL,10000+,Very Large,1922,104,Public
senior research analytical scientist non targeted analysis,$43K-$88K (Glassdoor est.),RTI International,"Durham, NC","Research Triangle Park, NC",Research & Development,Business Services,$500 million to $1 billion (USD),"Westat, Abt Associates, Chemonics International",0,0,43,88,65.5,RTI International,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Senior,PhD,4.3,NC,1001 - 5000,Large,1958,68,Nonprofit
director data science,$124K-$199K (Glassdoor est.),TRANZACT,"Fort Lee, NJ","Fort Lee, NJ",Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,0,0,124,199,161.5,TRANZACT,NJ,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,Data Scientist,Not Specified,Not_Specified,3.6,NJ,1001 - 5000,Large,1989,37,Private
sr data analyst   it,$52K-$93K (Glassdoor est.),United BioSource,"Blue Bell, PA","Blue Bell, PA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"Covance, ICON",0,0,52,93,72.5,United BioSource,PA,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,Data Analyst,Senior,Not_Specified,2.1,PA,1001 - 5000,Large,2003,23,Other
senior data engineer,$97K-$181K (Glassdoor est.),Figure Eight,"San Francisco, CA","San Francisco, CA",Computer Hardware & Software,Information Technology,$10 to $25 million (USD),-1,0,0,97,181,139.0,Figure Eight,CA,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Engineer,Senior,Not_Specified,3.9,CA,51 - 200,Small,2008,18,Public
senior data engineer,$100K-$173K (Glassdoor est.),Tapjoy,"San Francisco, CA","San Francisco, CA",Internet,Information Technology,$10 to $25 million (USD),"FLURRY, Chartboost",0,0,100,173,136.5,Tapjoy,CA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Data Engineer,Senior,Not_Specified,3.9,CA,201 - 500,Medium,2007,19,Private
